,place_id,formatted_address,name,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,plus_code.compound_code,canton,brand
121,ChIJH6HLlwR2kEcR6INqcpAcnWo,"Dorfstrasse 8, 8427 Freienstein-Teufen",Volg,4.4,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",90.0,47.5303383,8.5825891,GHJM+42 Freienstein-Teufen, Freienstein-Teufen,Volg
122,ChIJUaPWM2t1kEcR_WaV6CBB9_0,"Berglistrasse 24, 8180 Bülach",Volg Bülach,4.3,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.0,47.5229908,8.546805299999999,GGFW+5P Bülach, Bülach,Volg Bülach
124,ChIJ_S5lIQ52kEcRvj9Rb5LjkTs,"Weiacherstrasse 64, 8427 Rorbas",Volg,4.4,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",92.0,47.531805,8.5738572,GHJF+PG Rorbas, Rorbas,Volg
125,ChIJKS0V4D90kEcRri8J8t5l4dA,"Wehntalerstrasse 46, 8181 Höri",Volg Höri,4.1,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",84.0,47.5084822,8.5100838,GG56+92 Höri, Höri,Volg Höri
128,ChIJQdvY1LCbmkcRNFzarb2-edQ,"Winterthurstrasse 17, 8413 Neftenbach",Coop Supermarkt Neftenbach,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",191.0,47.526162,8.668973,GMG9+FJ Neftenbach, Neftenbach,Coop Supermarkt Neftenbach
129,ChIJW-5yMgWemkcRWwYcMHt7e2I,"Dorfstrasse 138, 8424 Embrach",Coop Supermarkt Embrach,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",366.0,47.5109947,8.594256699999999,GH6V+9P Embrach, Embrach,Coop Supermarkt Embrach
131,ChIJA0ptvxacmkcR25JpM8d-Foo,"Mitteldorfweg 2, 8413 Neftenbach",Volg,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",69.0,47.527896,8.667972599999999,GMH9+55 Neftenbach, Neftenbach,Volg
132,ChIJ852xn2udmkcRmVGzoB3B1Eo,"Flaachtalstrasse 17, 8459 Volken",Volg Volken,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",31.0,47.5739607,8.6245823,HJFF+HR Volken, Volken,Volg Volken
133,ChIJt3Vt8qJ1kEcRaENJ1ggdg5M,"Seebnerstrasse 14, 8185 Winkel",Volg Winkel,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",74.0,47.4922054,8.5521072,FHR2+VV Winkel, Winkel,Volg Winkel
134,ChIJ7Yo1h6V3kEcR5es5s7MG8KM,"Dorfstrasse 35, 8454 Buchberg",Volg,4.5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",23.0,47.5726039,8.5623665,HHF6+2W Buchberg, Buchberg,Volg
135,ChIJHSah3TCemkcRSFCP3UIIYeE,"Zürcherstrasse 35, 8426 Lufingen",Volg Lufingen with postal agency,4.5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",102.0,47.48897150000001,8.5942809,FHQV+HP Lufingen, Lufingen,Volg Lufingen with postal agency
136,ChIJzY168jR_kEcReTkaXLpv0r0,"Zollstrasse 54, 8212 Neuhausen am Rheinfall",Coop Supermarkt Neuhausen Schützengut,4.1,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",165.0,47.68005160000001,8.6065653,MJJ4+2J Neuhausen am Rheinfall, Neuhausen am Rheinfall,Coop Supermarkt Neuhausen Schützengut
137,ChIJKZpgkE5_kEcREbHzNGlsgxg,"Poststrasse 9, 8212 Neuhausen am Rheinfall",Coop Supermarkt Neuhausen Posthof,4.3,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",336.0,47.6826987,8.6198144,MJM9+3W Neuhausen am Rheinfall, Neuhausen am Rheinfall,Coop Supermarkt Neuhausen Posthof
139,ChIJO0f8c09_kEcR1nesjKoQbSE,"Schaffhauserstrasse 38, 8212 Neuhausen am Rheinfall",migrolino Neuhausen Rheinfall,4.3,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",59.0,47.6861161,8.6214856,MJPC+CJ Neuhausen am Rheinfall, Neuhausen am Rheinfall,migrolino Neuhausen Rheinfall
140,ChIJ195TvE5_kEcRkkaOZjIdxao,"Poststrasse 18, 8212 Neuhausen am Rheinfall",Denner Discount,4.1,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",215.0,47.683002,8.619211,MJM9+6M Neuhausen am Rheinfall, Neuhausen am Rheinfall,Denner Discount
141,ChIJg_siWFB_kEcRpPdX2f0dchU,"Gründenstrasse 5, 8247 Flurlingen",SPAR Supermarkt Flurlingen,4.3,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",46.0,47.6844311,8.6275236,MJMG+QX Flurlingen, Flurlingen,SPAR Supermarkt Flurlingen
142,ChIJ2wmzkeaBmkcRkMYKJwvUPjw,"Schützenstrasse 30, 8245 Feuerthalen",Coop Supermarkt Feuerthalen Rhymarkt,4.5,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",949.0,47.6906462,8.646801199999999,MJRW+7P Feuerthalen, Feuerthalen,Coop Supermarkt Feuerthalen Rhymarkt
143,ChIJc8Tb_9-BmkcRU0dgSnMvZ3A,"Freier Pl. 2, 8200 Schaffhausen",SPAR Supermarkt Schaffhausen,4.2,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",141.0,47.695515,8.640286,MJWR+64 Schaffhausen, Schaffhausen,SPAR Supermarkt Schaffhausen
145,ChIJrx7HUGd_kEcR3u5vLjoYip4,"Fronwagpl. 1, 8201 Schaffhausen",Coop Supermarkt Schaffhausen Fronwagplatz,4.1,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",256.0,47.69634749999999,8.633765,MJWM+GG Schaffhausen, Schaffhausen,Coop Supermarkt Schaffhausen Fronwagplatz
146,ChIJdefwGmd_kEcR_I1n2Ga_Zc4,"Bahnhofstrasse 29, 8200 Schaffhausen",Coop Pronto Shop Schaffhausen Bahnhof,4.3,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",111.0,47.69814150000001,8.632686,MJXM+73 Schaffhausen, Schaffhausen,Coop Pronto Shop Schaffhausen Bahnhof
147,ChIJofTjRhx5kEcRFs23fuKK22o,"Schaffhauser Str. 29, 79798 Jestetten, Germany",ALDI,4.0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",921.0,47.6543261,8.574718599999999,"MH3F+PV Jestetten, Germany",8 Jestetten,ALDI
148,ChIJA6JLFWd_kEcRIRQO86nQ2ZM,"Schwertstrasse 4, 8200 Schaffhausen",migrolino fresh Schaffhausen,4.5,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",52.0,47.6973126,8.6329139,MJWM+W5 Schaffhausen, Schaffhausen,migrolino fresh Schaffhausen
149,ChIJEQrnUtiBmkcRE9aikbPizYc,"In Gruben 1, 8200 Schaffhausen",Coop Supermarkt Schaffhausen Gruben,4.2,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",289.0,47.7027412,8.6459231,PJ3W+39 Schaffhausen, Schaffhausen,Coop Supermarkt Schaffhausen Gruben
151,ChIJCRwgq5KBmkcRvM4vFsnKQn4,"Hauptstrasse 29, 8246 Feuerthalen",Coop Pronto Shop mit Tankstelle Langwiesen,4.4,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",176.0,47.6842878,8.6602858,MMM6+P4 Feuerthalen, Feuerthalen,Coop Pronto Shop mit Tankstelle Langwiesen
152,ChIJX7NrDhN_kEcRi2PvJFX4YKQ,"Rietstrasse 169, 8200 Schaffhausen",Coop Supermarkt Schaffhausen Riet,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",147.0,47.703973,8.6155466,PJ38+H6 Schaffhausen, Schaffhausen,Coop Supermarkt Schaffhausen Riet
153,ChIJa94On0N_kEcRvpeQS9H8Cvk,"Mühlenstrasse 96, 8200 Schaffhausen",migrolino Schaffhausen Rheinfall,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",36.0,47.6927748,8.6233807,MJVF+48 Schaffhausen, Schaffhausen,migrolino Schaffhausen Rheinfall
154,ChIJl5gKrGB_kEcRAPHfwFty-Mk,"Vordergasse 69, 8200 Schaffhausen",Coop City Schaffhausen,4.2,"['department_store', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",282.0,47.6962488,8.634637,MJWM+FV Schaffhausen, Schaffhausen,Coop City Schaffhausen
155,ChIJ57l8xMh_kEcRUP43wQvSKiY,"Bachstrasse 55, 8200 Schaffhausen",mio Schaffhausen,0.0,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",0.0,47.6993644,8.6355293,MJXP+P6 Schaffhausen, Schaffhausen,mio Schaffhausen
156,ChIJYdcP2zCAmkcRO4OSLcCCcWM,"Stüdliackerstrasse 10, 8207 Schaffhausen",Coop Supermarkt Schaffhausen Herblingen,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",341.0,47.7206684,8.6657979,PMC8+78 Schaffhausen, Schaffhausen,Coop Supermarkt Schaffhausen Herblingen
157,ChIJ0SfoVNiBmkcRbz0YDd0IJ7c,"Grubenstrasse 80, 8200 Schaffhausen",migrolino Schaffhausen Grubenstrasse,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.0,47.7030853,8.6454819,PJ3W+65 Schaffhausen, Schaffhausen,migrolino Schaffhausen Grubenstrasse
158,ChIJs4bfp5KBmkcRMVBrCNM7V38,"Hauptstrasse 21, 8246 Feuerthalen",OTTO'S AG,4.2,"['supermarket', 'grocery_or_supermarket', 'furniture_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",316.0,47.684046,8.662045299999999,MMM6+JR Feuerthalen, Feuerthalen,OTTO'S AG
159,ChIJadCMQuZ5kEcRlMSlbbmuFzg,"Dorfstrasse 1, 8197 Rafz",Volg Rafz,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",146.0,47.6123315,8.5368551,JG6P+WM Rafz, Rafz,Volg Rafz
160,ChIJoV16IE54kEcRwf420aRhKKc,"Industriestraße 36, 79807 Lottstetten, Germany",Lidl,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",1019.0,47.6310049,8.5785809,"JHJH+CC Lottstetten, Germany",7 Lottstetten,Lidl
161,ChIJYQBygs12kEcRFEG25WHmtks,"Emmerstrasse 12, 8192 Glattfelden",Coop Supermarkt Glattfelden,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",248.0,47.55682849999999,8.5027777,HG43+P4 Glattfelden, Glattfelden,Coop Supermarkt Glattfelden
162,ChIJPSOMLDF3kEcR3XUwsuQU9Hs,"Schaffhauserstrasse 39, 8193 Eglisau",migrolino Eglisau,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",123.0,47.5807555,8.516040499999999,HGJ8+8C Eglisau, Eglisau,migrolino Eglisau
163,ChIJUcg5hkx4kEcRNiKHwxCA_oE,"Hauptstraße 45, 79807 Lottstetten, Germany",Barış Turkish Grocery Store,4.7,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",72.0,47.6269156,8.5725807,"JHGC+QX Lottstetten, Germany",7 Lottstetten,Barış Turkish Grocery Store
