,unique_id,osmid,element_type,brand,brand:wikidata,brand:wikipedia,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,opening_hours,operator,shop,wheelchair,geometry,bus,highway,public_transport,addr:city,addr:country,addr:postcode,addr:street,toilets:wheelchair,addr:suburb,contact:phone,nodes,building,addr:housename,addr:housenumber,branch,phone,alt_name,website,check_date:opening_hours,organic,source,wheelchair:description,level,opening_hours:covid19,post_box:location,payment:twint,kids_area,internet_access,internet_access:fee,description,emergency,emergency:phone,building:levels,delivery:covid19,indoor,room,source:opening_hours,takeaway,addr:place,check_date,entrance,start_date,amenity,capacity,fee,parking,access,operator:wikidata,name:en,layer,building:material,payment:cash,payment:credit_cards,payment:debit_cards,roof:colour,building:roof,payment:postfinance_card,surface,capacity:disabled,maxstay,roof:shape,roof:levels,park_ride,supervised,wikidata,lit,disused:shop,fixme,operator:type,payment:contactless,toilets,payment:coins,payment:notes,payment:telephone_cards,landuse,toilets:access,name:it,payment:maestro,smoking
20,node/7390289544,7390289544,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,,,,Migros,"Mo-Th 08:00-18:30, Fr 08:00-21:00, Sa 08:00-17:00",Genossenschaft Migros Luzern,supermarket,,POINT (8.651044 46.8727406),,,,Altdorf UR,,6460,Gotthardstrasse,,,,,,,67,Altdorf Urnertor,,Migros Urnertor (MM),https://filialen.migros.ch/de/migros-supermarkt-buerglen-altdorf-urnertor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,node/124140551,124140551,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,Mo-Sa 08:00-20:00; PH off,Genossenschaft Migros Zürich,supermarket,yes,POINT (8.7239602 47.2406357),,,,Stäfa,CH,8712,Goethestrasse,,,,,,,18,Stäfa,,Migros Stäfa (MM),https://filialen.migros.ch/de/migros-supermarkt-staefa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,node/312649674,312649674,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,Mo-Sa 08:00-20:00; PH off,Genossenschaft Migros Zürich,supermarket,yes,POINT (8.6678724 47.2290212),,,,Wädenswil,,8820,Oberdorfstrasse,,,,,,,27,Wädenswil,,Migros Wädenswil (MMM),https://filialen.migros.ch/de/migros-supermarkt-waedenswil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,node/386270747,386270747,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 08:00-20:00, Sa 07:30-18:00; PH off",Genossenschaft Migros Zürich,supermarket,yes,POINT (8.6957963 47.253025),,,,Männedorf,CH,8708,Alte Landstrasse,,,,,,,262,Männedorf,+41 44 921 60 40,Migros Männedorf,https://filialen.migros.ch/de/migros-supermarkt-maennedorf,,,migros.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,node/475204307,475204307,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 07:30-19:00, Sa 07:30-17:00; PH off",Genossenschaft Migros Zürich,supermarket,yes,POINT (8.9239856 47.240999),,,,Eschenbach SG,,8733,Rickenstrasse,no,,,,,,12,Eschenbach SG,,Migros Eschenbach SG,https://filialen.migros.ch/de/migros-supermarkt-eschenbach,,,,Keine Rollstuhlwägen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,node/529971961,529971961,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 08:00-17:00; PH off,Genossenschaft Migros Luzern,supermarket,yes,POINT (8.5183034 47.1731419),,,,Zug,,6300,Baarerstrasse,,,,,,,22,Zug Metalli,,Migros Metalli (MM),https://filialen.migros.ch/de/migros-supermarkt-zug-metalli,,,,,-1,same,"Hinterbergstrasse 40, Einkaufszentrum Zugerland, 6312 Steinhausen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,node/623872888,623872888,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,Mo-Sa 08:00-19:00; PH off,Genossenschaft Migros Zürich,supermarket,yes,POINT (8.7695926 47.2519351),,,,Hombrechtikon,,8634,Rütistrasse,,,,,,,16,Hombrechtikon,,Migros Hombrechtikon,https://filialen.migros.ch/de/migros-supermarkt-hombrechtikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,node/939538237,939538237,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 07:30-17:00; PH off,Genossenschaft Migros Luzern,supermarket,yes,POINT (8.4612037 47.1825379),,,,Cham,,6330,Zugerstrasse,,,,,,,15-17,Cham Neudorf,,Migros Cham,https://filialen.migros.ch/de/migros-supermarkt-cham-neudorf,,,,,0,same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,node/958154999,958154999,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 07:00-20:00, Sa 07:00-18:00; PH off",Genossenschaft Migros Zürich,supermarket,yes,POINT (8.8182095 47.2259117),,,,Rapperswil,,8640,Untere Bahnhofstrasse,,,,,,,19,Rapperswil Zentrum,,Migros Rapperswil,https://filialen.migros.ch/de/migros-supermarkt-rapperswil-zentrum,2019-02-21,,,,,Mo-Fr 07:00-20:00; Sa 07:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,node/963198491,963198491,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Th 07:30-19:00, Fr 07:30-20:00, Sa 07:30-17:00; PH off",Genossenschaft Migros Luzern,supermarket,yes,POINT (8.5793078 47.1381682),,,,Unterägeri,CH,6314,Zugerstrasse,,,,,,,32,Unterägeri,+41 41 754 41 41,Migros Unterägeri,https://filialen.migros.ch/de/migros-supermarkt-unteraegeri,,,migros.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,node/1347029585,1347029585,node,Migros,Q680727,de:Migros,,,,,Migros,Mo-Sa 07:30-20:00; PH off,Genossenschaft Migros Zürich,supermarket,,POINT (8.721596 47.1918481),,,,Wollerau,CH,8832,Roosstrasse,,,,,,,23,Wollerau Roospark,+41 58 563 52 50,Migros Roospark,https://filialen.migros.ch/de/migros-supermarkt-wollerau-maert-roospark,,,Migros.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,node/1362066985,1362066985,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 09:00-20:00, Sa 09:00-18:00; PH off",Genossenschaft Migros Zürich,supermarket,yes,POINT (8.8211586 47.2293927),,,,Rapperswil,,8640,Zürcherstrasse,,,,,,,4,Rapperswil Sonnenhof,,Migros Sonnenhof (MM),https://filialen.migros.ch/de/migros-supermarkt-rapperswil-sonnenhof,,,,,1,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,node/1411316292,1411316292,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 08:00-20:00, Sa 08:00-19:00; PH off",Genossenschaft Migros Luzern,supermarket,yes,POINT (8.441276 47.0838219),,,,Küssnacht am Rigi,,6403,Siegwartstrasse,,,,,,,11,Küssnacht Rigimärt,,Migros Küssnacht am Rigi (MM),https://filialen.migros.ch/de/migros-supermarkt-kuessnacht-rigimaert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,node/1575842960,1575842960,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 08:00-19:00, Sa 08:00-17:00",Genossenschaft Migros Luzern,supermarket,,POINT (8.6087819 46.9999926),,,,Brunnen,,6440,Bahnhofplatz,,,,,,,19,Brunnen Bahnhofsmärcht,,Migros Brunnen,https://filialen.migros.ch/de/migros-supermarkt-brunnen-bahnhofsmaercht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
