,unique_id,osmid,element_type,brand,brand:wikidata,brand:wikipedia,name,shop,geometry,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,alt_name,opening_hours,contact:phone,operator,phone,nodes,building,building:levels,roof:levels,roof:shape,branch,level,organic,payment:cash,payment:maestro,toilets:wheelchair,website,amenity,entrance,access,capacity:disabled,fee,lit,parking,surface,start_date,source,smoking,capacity,landuse,bus,highway,public_transport,name:it,addr:suburb,addr:housename,toilets,toilets:access,check_date:opening_hours,wheelchair:description,opening_hours:covid19,payment:twint,internet_access,addr:place,payment:coins,payment:contactless,payment:credit_cards,payment:debit_cards,payment:notes,payment:telephone_cards,kids_area,building:material,roof:colour,payment:postfinance_card,name:de,ele,source:opening_hours,takeaway,check_date,diet:halal,diet:kosher,post_box:location,network,uic_name,uic_ref,indoor,layer,internet_access:fee,description,emergency,emergency:phone,fixme,delivery:covid19,room,maxheight,building:part,payment:mastercard,payment:visa,departures_board,access:covid19,changing_table,contact:website,dog,building:roof
144,node/1069059529,1069059529,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.3072505 47.0461309),,,,,yes,Luzern,,58,6003,Winkelriedstrasse,Migros Waldstätter,Mo-Fr 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00; PH off,,Genossenschaft Migros Luzern,,,,,,,Luzern Waldstätter,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-waldstaetter,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,node/1145599864,1145599864,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.2922426 47.0737083),migros_bank;postfinance_card,no,no,checkout,yes,Emmenbrücke,,50,6020,Seetalstrasse,Migros Emmen (MM),"Mo-Th 09:00-19:00, Fr 09:00-21:00, Sa 08:00-17:00; PH off",,Genossenschaft Migros Luzern,,,,,,,Emmen Wohncenter,,,,,,https://filialen.migros.ch/de/migros-supermarkt-emmen-wohncenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,node/1191792633,1191792633,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.2738856 47.0898165),migros_bank;postfinance_card,no,no,checkout,limited,Emmenbrücke,,3,6020,Kapfstrasse,Migros Kapf,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",,Genossenschaft Migros Luzern,,,,,,,Emmen Kapf,,,,,,https://filialen.migros.ch/de/migros-supermarkt-emmen-kapf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,node/1254632070,1254632070,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (8.3282536 47.0374219),migros_bank;postfinance_card,no,no,checkout,yes,Luzern,,23,6005,Langensandstrasse,Migros Schönbühl (MM),"Mo-Th 08:30-19:00, Fr 08:30-21:00, Sa 08:00-17:00; PH off",,Genossenschaft Migros Luzern,,,,,,,Luzern Schönbühl,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-schoenbuehl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,
148,node/1278535198,1278535198,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (8.4287189 47.1413116),,,,,yes,Rotkreuz,,1,6343,Buonaserstrasse,Migros Rotkreuz,"Mo-Th 07:30-19:00, Fr 07:30-20:00, Sa 07:30-17:00; PH off",,Genossenschaft Migros Luzern,,,,,,,Rotkreuz,,,,,,https://filialen.migros.ch/de/migros-supermarkt-rotkreuz,,,,,,,,,,,,,,,,,,,Arkadenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,node/1334477909,1334477909,node,Migros,Q680727,,Migros,supermarket,POINT (8.3155116 47.0605745),,,,,,Luzern,,2,6006,Mettenwylstrasse,Migros Partner Wesemlin,"Mo-Fr 08:00-12:15,13:30-19:00, Sa 08:00-17:00; PH off",,Genossenschaft Migros Luzern,,,,,,,Luzern Wesemlin,,,yes,,,https://filialen.migros.ch/de/migros-partner-luzern-wesemlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,node/1351032263,1351032263,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.2993724 47.0505994),,,,,,Luzern,,18,6003,Bruchstrasse,Migros Bruchstrasse,Mo-Fr 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00; PH off,,Genossenschaft Migros Luzern,,,,,,,Luzern Bruchstrasse,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-bruchstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,node/1369379077,1369379077,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.274562 47.0616861),migros_bank;postfinance_card,no,no,checkout,yes,,,,,,Migros Ruopigen,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",,Genossenschaft Migros Luzern,,,,,,,Ruopigen,,,,,,https://filialen.migros.ch/de/migros-supermarkt-ruopigen-zentrum-luzern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,node/1409406549,1409406549,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.5856168 47.3592095),,,,,,Zürich,CH,293,8053,Witikonerstrasse,Migros Witikon (MM),Mo-Sa 08:00-20:00; PH off,,Genossenschaft Migros Zürich,,,,,,,Zürich Witikon-Zentrum,,,,,,https://filialen.migros.ch/de/migros-supermarkt-zuerich-witikon-zentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,Zentrum Witikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,node/1411316292,1411316292,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.441276 47.0838219),migros_bank;postfinance_card,no,no,checkout,yes,Küssnacht am Rigi,,11,6403,Siegwartstrasse,Migros Küssnacht am Rigi (MM),"Mo-Fr 08:00-20:00, Sa 08:00-19:00; PH off",,Genossenschaft Migros Luzern,,,,,,,Küssnacht Rigimärt,,,,,,https://filialen.migros.ch/de/migros-supermarkt-kuessnacht-rigimaert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
